distance_range,quake_count,avg_magnitude,avg_depth
0.0,11,4.74,59.0
50.0,2,4.1,62.5
100.0,12,4.04,29.8
150.0,5,3.64,34.0
200.0,10,4.0,71.6
250.0,14,4.54,32.3
300.0,6,3.83,33.3
350.0,13,4.66,47.7
400.0,10,4.63,39.0
450.0,37,4.52,23.9
500.0,10,4.24,25.2
550.0,4,4.8,346.0
600.0,4,4.6,430.1
650.0,7,4.29,152.5
700.0,4,3.72,38.4
750.0,6,4.1,114.2
800.0,9,4.08,200.6
850.0,5,3.94,210.0
900.0,6,4.12,349.8
950.0,2,4.8,27.6
1000.0,1,3.2,10.0
1100.0,23,3.45,8.5
1150.0,14,4.08,30.9
1200.0,4,4.95,11.2
1250.0,3,4.63,140.1
1450.0,2,4.55,88.0
1550.0,2,4.7,15.0
1800.0,4,4.53,20.0
2000.0,3,4.6,56.7
